,State,District,Persons,Males,Females,Growth..1991...2001.,Persons..literate,Males..Literate,Females..Literate,Total.Educated,Primary,Middle,Matric.Higher.Secondary.Diploma,Graduate.and.Above,Total.workers
1,AN,"District Andamans (01), Andaman & Nicobar Islands (35)",314084,170319,143765,30.14,226600,131223,95377,226600,62233,49731,50748,13909,116631
2,AN,"District Nicobars (02), Andaman & Nicobar Islands (35)",42068,22653,19415,7.19,26535,15608,10927,26535,8544,6439,5150,994,19623
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
3,Andhra,"District Adilabad (01), Andhra Pradesh (28)",2488003,1250958,1237045,19.06,1112189,688072,424117,1112189,305503,114789,254169,43564,1123248
4,Andhra,"District Nizamabad (02), Andhra Pradesh (28)",2345685,1162905,1182780,14.98,1044788,642996,401792,1044788,304556,106517,249549,51926,1159606
5,Andhra,"District Karimnagar (03), Andhra Pradesh (28)",3491822,1747968,1743854,14.47,1661089,1013328,647761,1661089,478883,189226,409110,81001,1711559
6,Andhra,"District Medak (04), Andhra Pradesh (28)",2670097,1352446,1317651,17.29,1171134,738208,432926,1171134,322529,118592,282352,51608,1293657
7,Andhra,"District Hyderabad (05), Andhra Pradesh (28)",3829753,1981173,1848580,17.18,2634949,1449602,1185347,2634949,561772,244588,909398,466744,1119842
8,Andhra,"District Rangareddi (06), Andhra Pradesh (28)",3575064,1839227,1735837,37.41,2034381,1192100,842281,2034381,489521,193364,607300,260503,1437606
9,Andhra,"District Mahbubnagar (07), Andhra Pradesh (28)",3513934,1782340,1731594,13.97,1317521,850414,467107,1317521,353924,128269,329607,67575,1823329
10,Andhra,"District Nalgonda (08), Andhra Pradesh (28)",3247982,1651990,1595992,13.55,1595643,981875,613768,1595643,439802,175590,352049,85612,1594666
11,Andhra,"District Warangal (09), Andhra Pradesh (28)",3246004,1644895,1601109,14.63,1595745,973527,622218,1595745,418774,174537,411463,99917,1566237
12,Andhra,"District Khammam (10), Andhra Pradesh (28)",2578927,1305543,1273384,15.78,1267944,745679,522265,1267944,377075,139285,275834,72950,1244376
13,Andhra,"District Srikakulam (11), Andhra Pradesh (28)",2537593,1260020,1277573,8.93,1217659,731778,485881,1217659,406889,140816,236099,59134,1201816
14,Andhra,"District Vizianagaram (12), Andhra Pradesh (28)",2249254,1119541,1129713,6.36,997482,605038,392444,997482,345163,107395,191992,54462,1174164
15,Andhra,"District Visakhapatnam (13), Andhra Pradesh (28)",3832336,1930197,1902139,15.36,2002316,1171082,831234,2002316,577938,211419,535115,184767,1602761
16,Andhra,"District West Godavari (15), Andhra Pradesh (28)",3803517,1910038,1893479,7.92,2458822,1308598,1150224,2458822,867078,239220,438313,122202,1678335
17,Andhra,"District Krishna (16), Andhra Pradesh (28)",4187841,2117401,2070440,14.05,2539974,1386261,1153713,2539974,807042,269230,605480,177102,1841597
18,Andhra,"District Guntur (17), Andhra Pradesh (28)",4465144,2250279,2214865,7.27,2455965,1407402,1048563,2455965,804976,241137,559524,175832,2190299
19,Andhra,"District Prakasam (18), Andhra Pradesh (28)",3059423,1552332,1507091,10.72,1532126,938482,593644,1532126,512915,143921,341687,92527,1537544
20,Andhra,"District Nellore (19), Andhra Pradesh (28)",2668564,1344935,1323629,11.18,1522866,866975,655891,1522866,515113,149694,316461,93056,1211702
21,Andhra,"District Cuddapah (20), Andhra Pradesh (28)",2601797,1318093,1283704,13.48,1420752,867054,553698,1420752,482912,145747,323102,91650,1165566
22,Andhra,"District Kurnool (21), Andhra Pradesh (28)",3529494,1796214,1733280,18.14,1592172,1003659,588513,1592172,526192,139903,363649,101204,1745220
23,Andhra,"District Anantapur (22), Andhra Pradesh (28)",3640478,1859588,1780890,14.31,1774088,1104042,670046,1774088,667978,177709,380349,102827,1777536
24,Andhra,"District Chittoor (23), Andhra Pradesh (28)",3745875,1889690,1856185,14.54,2176990,1273940,903050,2176990,769687,240584,466832,136183,1752979
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
