District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50
1,JAMMU AND KASHMIR,Kupwara,870354,474190,396164,439654,282823,156831,229064,190899,38165,60616,101642,99947,74948,39709,21751,600759,178435,89679
2,JAMMU AND KASHMIR,Badgam,753745,398041,355704,335649,207741,127908,214866,162578,52288,68336,80862,83141,66459,41367,27950,503223,160933,88978
3,JAMMU AND KASHMIR,Leh(Ladakh),133487,78971,54516,93770,62834,30936,75079,53265,21814,10452,15181,17900,16265,8923,6197,70703,41515,21019
4,JAMMU AND KASHMIR,Kargil,140802,77785,63017,86236,56301,29935,51873,39839,12034,12732,19083,20874,16938,9826,3077,87532,35561,17488
5,JAMMU AND KASHMIR,Punch,476835,251899,224936,261724,163333,98391,161393,117677,43716,55762,72024,69219,46062,29517,13962,304979,109818,61334
6,JAMMU AND KASHMIR,Rajouri,642415,345351,297064,364109,224469,139640,290912,184752,106160,70996,91859,108785,65921,35804,18576,404903,153165,83319
7,JAMMU AND KASHMIR,Kathua,616435,326109,290326,389204,228499,160705,200431,161548,38883,69396,82715,106411,91522,47694,24330,357864,160123,97684
8,JAMMU AND KASHMIR,Baramula,1008039,534733,473306,545149,337170,207979,304200,249581,54619,76778,117000,137510,107837,57932,48285,636524,239659,130513
9,JAMMU AND KASHMIR,Bandipore,392232,207680,184552,185979,117058,68921,149317,101380,47937,34064,47240,48849,35630,18644,12721,252378,90465,48802
10,JAMMU AND KASHMIR,Srinagar,1236829,651124,585705,748584,431746,316838,407188,333151,74037,88911,173309,178723,176409,132727,121856,693238,351561,190330
11,JAMMU AND KASHMIR,Ganderbal,297446,158720,138726,143276,90581,52695,100890,73305,27585,25817,38735,38375,28247,15005,9633,194165,66945,35911
12,JAMMU AND KASHMIR,Pulwama,560440,293064,267376,293958,178326,115632,188420,138428,49992,36201,54808,73991,67368,40931,31286,342601,137032,80111
13,JAMMU AND KASHMIR,Shupiyan,266215,136480,129735,136500,80355,56145,87721,63931,23790,26468,29593,36939,28617,16501,10782,170086,60752,35158
14,JAMMU AND KASHMIR,Anantnag,1078692,559767,518925,545532,324417,221115,389684,244032,145652,73719,99059,129174,97121,52407,41570,704145,239988,133519
15,JAMMU AND KASHMIR,Kulgam,424483,217620,206863,209085,125052,84033,159990,102317,57673,36066,47268,60470,45383,24214,18240,266858,99870,57253
16,JAMMU AND KASHMIR,Doda,409936,213641,196295,219083,138620,80463,151912,101144,50768,43794,47350,62719,48359,31416,12647,263576,93189,52744
17,JAMMU AND KASHMIR,Ramban,283713,149132,134581,124065,82938,41127,87212,68476,18736,33971,35284,35115,22591,13331,4923,188526,61604,33220
18,JAMMU AND KASHMIR,Kishtwar,230696,120165,110531,107506,68700,38806,82974,56779,26195,25022,25675,27745,19550,14521,5438,145931,53415,31084
19,JAMMU AND KASHMIR,Udhampur,554985,296784,258201,322354,197543,124811,243672,163845,79827,58567,80129,86008,55024,29657,17345,339145,140785,74757
